Genus,Clade,Larval mode,Dispersal ability (high/low)
 Cerithium,Gastropod,planktotrophic,high
Seila,Gastropod,planktotrophic,high
Eulima,Gastropod,planktotrophic,high
Aciculiscala,Gastropod,planktotrophic,high
Mokotibaster,Echinoderm,planktotrophic,high
Iraniaster,Echinoderm,planktotrophic,high
Mecaster,Echinoderm,planktotrophic,high
Lambertiaster,Echinoderm,planktotrophic,high
Toxaster,Echinoderm,planktotrophic,high
Heteraster,Echinoderm,planktotrophic,high
Abatus,Echinoderm,non-planktotrophic,low
Schizaster,Echinoderm,planktotrophic,high
Holanthus,Echinoderm,planktotrophic,high
Leiostomaster,Echinoderm,non-planktotrophic,low
Mauritanaster,Echinoderm,non-planktotrophic,low
Heterolampas,Echinoderm,non-planktotrophic,low
Diplodetus,Echinoderm,non-planktotrophic,low
Cyclaster,Echinoderm,non-planktotrophic,low
Micraster,Echinoderm,planktotrophic,high
 Anachronistella,Gastropod,planktotrophic,high
Inoceramus,Bivalve,planktotrophic,high
Sphenoceramus,Bivalve,planktotrophic,high
Myoconcha,Bivalve,non-planktotrophic,low
Myophorella,Bivalve,non-planktotrophic,low
Barrandecirrus ,Gastropod,non-planktotrophic,low
Pernericirrus ,Gastropod,non-planktotrophic,low
 Cypraea,Gastropod,planktotrophic,high
Rissoa ,Gastropod,non-planktotrophic,low
Orthaster,Echinoderm,planktotrophic,high
Pleurotomaria,Gastropod,non-planktotrophic,low
Pyrgotrochus,Gastropod,non-planktotrophic,low
Anodomaria,Gastropod,non-planktotrophic,low
Bathrotomaria,Gastropod,non-planktotrophic,low
Conotomaria,Gastropod,non-planktotrophic,low
Leptomaria,Gastropod,non-planktotrophic,low
Doleroides ,brachiopod,planktotrophic,high
Protozyga ,brachiopod,non-planktotrophic,low
Eohadrotreta ,brachiopod,planktotrophic,high
Paterula,brachiopod,planktotrophic,high
Schizambon ,brachiopod,planktotrophic,high
Trematis ,brachiopod,planktotrophic,high
Micromitra,brachiopod,non-planktotrophic,low
Siphonobolus ,brachiopod,planktotrophic,high
Eoobolus ,brachiopod,planktotrophic,high
Orthisocrania ,brachiopod,non-planktotrophic,low
Craniops ,brachiopod,non-planktotrophic,low
Lepidocrania,brachiopod,non-planktotrophic,low
Orthisocrania ,brachiopod,non-planktotrophic,low
Pholidops ,brachiopod,non-planktotrophic,low
Streptis,brachiopod,non-planktotrophic,low
